str,vi,en,
nhap_mon_an,Nhập món ăn,Enter food,
tim_kiem_mon_an,Tìm kiếm món ăn,Search,
tinh_bot,Tinh bột,Carbs,
cap_nhat_chi_so_dinh_duong,Cập nhật chỉ số dinh dưỡng,Log Your Meal,
nhap_chi_so_dinh_duong,Nhập chỉ số dinh dưỡng,Enter nutrition index,
che_do_dinh_duong_benh_tieu_duong,Chế độ dinh dưỡng bệnh tiểu đường,Diabetes diet,
luong_calo_ban_da_nap,Lượng calo bạn đã nạp,Total Calories of calories you have intaken,
them_mon_an,Thêm món ăn,More dishes,
ban_chua_chon_mon_an,Bạn chưa chọn món ăn,You have not selected a dish yet,
food_advice,"Chế độ dinh dưỡng có khoa học giúp kiểm soát tình trạng bệnh tiểu đường tốt hơn. Theo đó, những thực phẩm người bệnh tiểu đường nên ăn bao gồm","Scientific nutrition helps control diabetes better. accordingly, the foods people with diabetes should eat include:",
nhom_duong_bot,Nhóm đường bột,Carbohydrate,
nhom_duong_bot_description,"Ngũ cốc nguyên hạt, đậu đỗ, gạo còn vỏ cám, rau củ... được chế biến bằng cách hấp, luộc, nướng, hạn chế tối đa rán, xào... Các loại củ như khoai sắn cũng cung cấp khá nhiều tinh bột, nên nếu người bệnh tiểu đường ăn các loại này thì cần phải giảm hoặc cắt cơm.","Whole grains, beans, rice with bran on, vegetables... are processed by steaming, boiling, baking, minimizing frying, stir-frying... root vegetables like tapioca also provide quite a lot of carb, so if people with diabetes eat these types, they need to reduce or cut rice.",
nhom_thit_ca,Nhóm thịt cá,Group of meat and fish,
nhom_thit_ca_description,"Người bệnh tiểu đường nên ăn cá, thịt nạc, thịt gia cầm bỏ da, thịt lọc bỏ mỡ, các loại đậu đỗ... được chế biến đơn giản như hấp, luộc, áp chảo nhằm loại bớt mỡ.","People with diabetes should eat fish, lean meat, skinless poultry, fat-removed meat, legumes... which are simply processed such as steaming, boiling, pan-frying to remove fat.",
nhom_chat_beo_duong_description,"Các thực phẩm có chất béo không bão hòa được ưu tiên trong chế độ ăn của người bệnh tiểu đường như dầu đậu nành, vừng, dầu cá, mỡ cá, olive...","Foods with unsaturated fats are preferred in the diet of diabetics such as soybean oil, sesame, fish oil, fish fat, olive ...",
nhom_rau,Nhóm rau,Vegetable group,
nhom_rau_description,"Người bệnh tiểu đường nên ăn rau nhiều hơn trong thực đơn của mình thông qua các cách chế biến đơn giản như ăn sống, hấp, luộc, rau trộn nhưng không nên sử dụng nhiều loại sốt có chất béo.","Diabetics should eat more vegetables in their menu through simple processing methods such as eating raw, steaming, boiling, mixed vegetables but should not use many types of sauces with fat.",
nhom_hoa_qua,Hoa quả,Fruit,
nhom_hoa_qua_description,"Người bệnh tiểu đường cần tăng cường ăn trái cây tươi, không nên chế biến thêm bằng cách cho thêm kem, sữa, hạn chế ăn các loại quả chín ngọt như: sầu riêng, hồng chín, xoài chín,...","Diabetics need to increase their intake of fresh fruit, do not add more ingredient like ice cream, milk, and limit the intake of sweet and ripe fruits such as durian, ripe persimmon, ripe mango, etc.",
when,Lúc,At the time,
mon_an_gan_day,Món ăn gần đây,Recent dishes,
mon_yeu_thich,Món yêu thích,Favorite food,
danh_muc,Danh mục,Category,
kcal_input,Số Kcal đã nạp,Number of kcals loaded,
enter_kcal_hint,Nhập số Kcal đã nạp,Enter the amount of kcal loaded,
invalid_kcal,Số Kcal phải lớn hơn 0,The number of kcal must be greater than 0,
Hba1cScreen,#ERROR!,#ERROR!,
tim_hieu_them,Tìm hiểu thêm,More information,
bai_viet_noi_bat,Bài viết nổi bật,Events & Posts,
xu_huong_hba1c,Xu hướng HbA1c,Hba1c trends,
xem_nguong_hba1c,Xem nguỡng HbA1c,See hba1c range,
filter,Bộ lọc,Filter,
sau_thang,6 tháng,6 months,
mot_nam,1 năm,One year,
hai_nam,2 năm,2 years,
loc_theo_thoi_gian,Lọc theo thời gian,Filter by time,
cap_nhat_chi_so_hba1c,Cập nhật chỉ số HbA1c,Update hba1c,
nhap_chi_so_hba1c,Nhập chỉ số HbA1c,Enter hba1c,
chi_so_hba1c_doi_voi_benh_tieu_duong,Chỉ số HbA1c đối với bệnh tiểu đường,Hba1c for diabetes,
ban_chua_nhap_chi_so_hba1c,Bạn chưa nhập chỉ số HbA1c,You have not entered your hba1c,
invalid_hba1c,"Chúng tôi xin lỗi, số liệu mà bạn nhập không trong phạm vi cho phép. Giá trị kỳ vọng nằm trong ngưỡng 1 - 30","We are sorry, the data you entered is not within the allowed range. expected value is in the range 1 - 30",
bang_chi_so_hba1c_va_duong_huyet,Bảng chỉ số HbA1c & đường huyết,Table of hba1c & blood glucose,
HomeScreen,#ERROR!,#ERROR!,
thanh_vien_co_ban,Thành viên cơ bản,Basic member,
share_with_diab,Điều gì tạo động lực sống khỏe hơn mỗi ngày cho bạn? Hãy chia sẻ cùng DiaB nhé!,What motivates you to live healthier every day? please share with Diab!,
viet_dong_luc,Viết động lực,Write motivation,
vui_ve,Vui vẻ,Funny,
buon_ngu,Buồn ngủ,Sleepy,
om,Ốm,Sick,
dinh_duong_va_van_dong,Dinh dưỡng & Vận động,Nutrition & exercise,
ti_le_so_voi_lan_truoc,% so với lần trước!,% from last time!,
da_nap,Đã nạp,Intake,
tieu_hao,Tiêu hao,Outake,
LoginScreen,#ERROR!,#ERROR!,
mat_khau_moi_it_nhat_6_ky_tu,Mật khẩu mới ít nhất 6 ký tự,New password at least 6 characters,
mat_khau_hien_tai,Mật khẩu hiện tại,Current password,
nhap_mat_khau,Nhập mật khẩu,Enter password,
mat_khau_moi,Mật khẩu mới,A new password,
nhap_mat_khau_moi,Nhập mật khẩu mới,Enter your new password,
xac_nhan_mat_khau_moi,Xác nhận mật khẩu mới,Confirm new password,
nhap_lai_mat_khau_moi,Nhập lại mật khẩu mới,Enter a new password,
luu_mat_khau,Lưu mật khẩu,Save password,
doi_mat_khau,Đổi mật khẩu,Change password,
ban_chua_nhap_mat_khau,Bạn chưa nhập mật khẩu,You have not entered your password,
tao_mat_khau_moi,Tạo mật khẩu mới,Create a new password,
mat_khau_khong_chua_khoang_trang,Mật khẩu không chứa khoảng trắng,Password does not contain spaces,
mat_khau_khong_trung_khop,Mật khẩu không trùng khớp,Password does not match,
doi_mat_khau_thanh_cong,"Đổi mật khẩu thành công, bạn có thể đăng nhập lại với mật khẩu mới","Change password successfully, you can login again with new password",
mat_khau_hien_tai_khong_dung,Mật khẩu hiện tại không đúng,Current password is incorrect,
reset_mat_khau_thanh_cong,"Reset mật khẩu thành công, bạn có thể đăng nhập lại với mật khẩu mới","Password reset is successful, you can login again with new password",
phone_number_for_otp,Nhập số điện thoại bạn đã đăng ký trước đó để chúng tôi gửi mã xác nhận đổi mật khẩu,Enter the phone number you registered before so that we will send a confirmation code to change your password,
so_dien_thoai,Số điện thoại,Phone number,
nhap_so_dien_thoai,Nhập số điện thoại,Enter your phone number,
quyen_mat_khau,Quên mật khẩu,Forgot password,
ban_chua_nhap_so_dien_thoai,Bạn chưa nhập số điện thoại,You did not enter a phone number,
so_dien_thoai_khong_ton_tai,Số điện thoại không tồn tại. Vui lòng đăng nhập hoặc dùng số điện thoại khác để đăng ký!,Phone number does not exist. please login or use another phone number to register!,
da_gui_otp_5_lan_cho_so_dien_thoai,Đã gửi OTP 5 lần cho số điện thoại,Sent otp 5 times for phone number,
dang_ky_lai_hom_sau,.\nVui lòng kiểm tra lại hoặc đăng ký vào ngày hôm sau!,Please check again or try the next day!,
hoac_dang_nhap_bang,Hoặc đăng nhập bằng,Or sign in with,
chua_co_tai_khoan,Chưa có tài khoản?,No account?,
tao_tai_khoan_moi,Tạo tài khoản mới,Sign up a new account,
mat_khau_khong_chinh_xac,Mật khẩu không chính xác. Vui lòng kiểm tra lại,Incorrect password. please check again,
so_dien_thoai_khong_chinh_xac,Số điện thoại không tồn tại. Vui lòng kiểm tra lại,Phone number does not exist. please check again,
tai_khoan_het_hieu_luc,"Tài khoản của bạn đã hết hiệu lực, vui lòng liên lạc quản trị viên để được hỗ trợ","Your account has expired, please contact your administrator for assistance",
tai_khoan_can_nang_cap,"Xin lỗi bạn, tài khoản của bạn chưa thể sử dụng tính năng này. Vui lòng liên hệ DiaB để được tư vấn nâng cấp tài khoản.","Sorry, your account cannot use this feature yet. please contact Diab for advice on upgrading your account.",
so_dien_thoai_da_ton_tai,Số điện thoại đã tồn tại. Vui lòng đăng nhập hoặc dùng số điện thoại khác để đăng ký!,Phone number already exists. please login or use another phone number to register!,
user_name_default,Tài khoản nguời dùng,User accounts,
xac_nhan_mat_khau,Xác nhận mật khẩu,Confirm password,
nhap_lai_mat_khau,Nhập lại mật khẩu,Enter the password,
tao_tai_khoan,Tạo tài khoản,Sign up,
da_co_tai_khoan,Đã có tài khoản,Sign in,
ban_chua_nhap_lai_mat_khau,Bạn chưa nhập lại mật khẩu,You have not re-entered your password,
nhap_lai_mat_khau_khong_chinh_xac,Nhập lại mật khẩu không chính xác,Re-enter incorrect password,
dieu_khoan_va_dieu_kien,Điều khoản & điều kiện,Terms & conditions,
toi_dong_y,Tôi đồng ý,I agree,
dong_hanh_va_se_chia,Đồng hành & sẻ chia,Compassion & Companion,
dong_hanh_va_se_chia_description,Hướng đến những thay đổi lành mạnh cùng đội ngũ huấn luyện sức khỏe (Health Coach),For a healthier lifestyle with diaB's health coaches.,
hieu_de_yeu_ban_than_hon,Hiểu để yêu bản thân hơn,Self-management,
hieu_de_yeu_ban_than_hon_description,"Theo dõi sức khỏe dễ dàng, học cách yêu thương bản thân hơn chỉ trên một ứng dụng",Tracking and controlling your blood glucose easier.,
va_khong_chi_co_ban,Và không chỉ có bạn...,And you are not alone in your journey...,
va_khong_chi_co_ban_description,
version,Version,Version,
hay_de_diab_thau_hieu_ban_hon,Hãy để DiaB \nthấu hiểu bạn hơn!,Let Diab get to know you better!,
hay_de_diab_thau_hieu_ban_hon_single_line,Hãy để DiaB thấu hiểu bạn hơn!,Let Diab understand you better!,
chao_mung,Chào mừng,Welcome,
ban,Bạn,Friend,
ho_va_ten,Họ & tên,First and last name,
nhap_ho_ten,Nhập họ tên,Enter your first and last name,
chon_ngay_sinh,Chọn ngày sinh,Choose your date of birth,
gioi_tinh,Giới tính,Gender,
chon_gioi_tinh,Chọn giới tính,Choose your gender,
nam,Nam,Male,
nu,Nữ,Female,
tinh_trang_benh_tieu_duong,Tình trạng bệnh tiểu đường,Diabetes status,
chon_tinh_trang_benh,Chọn tình trạng bệnh,Choose a medical condition,
chon_nam,Chọn năm,Select year,
luu_thong_tin,Lưu thông tin,Save information,
loai_benh,Loại bệnh,Type of Diabetes,
ban_chua_nhap_ho_ten,Bạn chưa nhập họ tên,You have not entered your name,
ban_chua_chon_ngay_sinh,Bạn chưa chọn ngày sinh,You have not selected a date of birth,
ban_chua_chon_gioi_tinh,Bạn chưa chọn giới tính,You haven't chosen a gender yet,
ban_chua_chon_tinh_trang_benh_tieu_duong,Bạn chưa chọn tình trạng bệnh tiểu đường,You have not selected your diabetes status,
ban_chua_chon_nam_phat_hien_benh,Bạn chưa chọn năm phát hiện bệnh,You have not selected the year of diagnosis,
so_dien_thoai_da_ton_tai_trong_he_thong,"Số điện thoại này đã tồn tại trong hệ thống, vui lòng kiểm tra lại","This phone number already exists in the system, please review",
nhap_otp,Nhập 4 số trong tin nhắn văn bản đã gửi đến,Enter 4 numbers in the text message sent,
otp_khong_chinh_xac,Mã xác nhận không chính xác. Vui lòng kiểm tra lại,Confirmation code is incorrect. please check again,
gui_lai_ma,Gửi lại mã,Resend code,
thay_doi_so_dien_thoai,Thay đổi số điện thoại,Change phone number,
xac_nhan_so_dien_thoai,Xác nhận số điện thoại,Confirm phone number,
da_gui_lai_otp,Đã gửi lại mã OTP.\nVui lòng kiểm tra tin nhắn,Otp has been sent back.\nplease check your message,
NotificationScreen,#ERROR!,#ERROR!,
not_read_yet,Chưa đọc,Unread,
read,Đã đọc,Read,
mes_detele_notificaiton,Xoá thông báo?,Delete notifications?,
mes_comfirm_detele_notificaiton,Bạn chắc chắn muốn xoá thông báo này?,Are you sure you want to remove this message?,
detele_notificaiton,Xoá\nthông báo,Delete notice,
later,Để sau,Later,
ProfileScreen,#ERROR!,#ERROR!,
every_day,Hàng ngày,Daily,
every_day_except_sunday,Hàng ngày trừ Chủ Nhật,Daily except sunday,
every_week,Hàng tuần,Weekly,
every_30_minutes,Mỗi 30 phút,Every 30 minutes,
edit_reminder_calendar,Chỉnh sửa lịch nhắc nhở,Edit reminder calendar,
add_reminder_calendar,Thêm lịch nhắc nhở,Add a reminder calendar,
reminder_calendar,Lịch nhắc nhở,Calendar reminder,
status,Trạng thái,Status,
time_reminder,Thời gian nhắc nhở,Reminder time,
repeat,Lặp lại,Repeat,
reminder_name,Tên nhắc nhở,Reminder name,
enter_reminder_name,Nhập tên nhắc nhở,Enter the reminder name,
content_reminder,Nội dung nhắc nhở,Reminder content,
enter_content_reminder,Nhập nội dung nhắc nhở,Enter the reminder text,
mes_reminder_name_empty,Bạn chưa nhập tên nhắc nhở,You have not entered the reminder name,
mes_time_reminder_empty,Bạn chưa nhập thời gian nhắc nhở,You have not entered the reminder time,
address,Địa chỉ,Address,
specific_address,Địa chỉ cụ thể,Specific address,
enter_your_address,Nhập địa chỉ của bạn,Enter your address,
province,Tỉnh thành,Province,
choose,Chọn,Choose,
mes_province_empty,Bạn chưa chọn tỉnh thành,You have not selected a province,
district,Quận/Huyện,District,
mes_district_empty,Bạn chưa chọn quận/huyện,You have not selected a district,
wards,Phường/Xã,Wards,
mes_address_empty,Bạn chưa nhập địa chỉ,You do not enter an address,
mes_wards_empty,Bạn chưa chọn phuờng/xã,You have not selected a ward/commune,
contact_diab,Liên hệ với DiaB,Contact Diab,
hotline,Hotline: {},Hotline: {},
mes_call_diab,Bạn muốn gọi đến Hotline của DiaB để được trợ giúp?,Want to call Diab's hotline for help?,
call,Gọi,Call,
goal_setting,Thiết lập mục tiêu,Goal setting,
goal_setting_done,Đã thiết lập,Done,
minutes_exercise_per_week,Số phút vận động hằng tuần,Weekly exercise minutes,
energy_take_per_day,Năng lượng thu nạp / ngày,Kcal intake / day,
user_manual,Hướng dẫn sử dụng,User Manual,
motivational_diary,Nhật ký động lực,Motivational diary,
profile_file,Hồ sơ,File,
user_id,Mã người dùng: {},User code: {},
coaching_package,Gói Coaching,Coaching package,
remind,Nhắc nhở,Reminders,
personal_schedule,Lịch sinh hoạt\ncá nhân,Activities personal schedule,
personal_schedule_single_line,Lịch sinh hoạt cá nhân,Daily Plan,
blood_sugar_schedule,Lịch đo\nđường huyết,Glucose Test Schedule,
blood_sugar_schedule_single_line,Lịch đo đường huyết,Glucose Test Schedule,
personal_info,Thông tin cá nhân,Personal Information,
information_security,Bảo mật thông tin,Security,
update_phone_number,Cập nhật số điện thoại,Update phone number,
let_diab_remind_you,Để DiaB giúp bạn ghi nhớ và nhắc nhở những việc cần làm nhé!,Let Diab help you remember and remind what to do!,
setup_personal_schedule,Thiết lập lại thời gian cho phù hợp với lịch sinh hoạt cá nhân trong ngày của bạn,Reset the time to fit your personal schedule for the day,
wake_up,Thức giấc,Wake up,
morning,sáng,Breakfast,
mes_set_all_time_frame,Bạn phải thiết lập thời gian tất cả khung giờ,You must set all time frames,
default_time_to_measure_blood_sugar,Thời điểm đo đường huyết mặc định là,The default time to measure blood glucose is,
suggest_time_to_measure_blood_sugar,"30p trước ăn, 150p sau ăn và 30p trước khi đi ngủ","30 minutes before meal, 150 minutes after meal and 30 minutes before bed",
time_to_measure_blood_sugar,"{}p trước ăn, {}p sau ăn và {}p trước khi đi ngủ","Before meal, after meal and before bed",
setup,Thiết lập,Set,
sunday,CN,Sunday,
day_in_week,T{},T{},
the_morning,Buổi sáng,Morning,
the_noon,Buổi trưa,Lunch,
the_evening,Buổi tối,Night,
sleep_time,Giờ ngủ,Sleep time,
before_sleep,Trước khi ngủ,Before bed,
setup_reminder_time_and_unit,Đặt lại thời gian nhắc nhở cho mỗi khung giờ và đơn vị đo phù hợp với nhu cầu của bạn,Reset reminder times for each time frame and unit of measure to suit your needs,
blood_sugar_unit,Đơn vị đo dường huyết,Blood glucose unit,
my_motivation,Động lực của tôi,My Affirmation,
view_log,Xem nhật ký,View diary,
new_motivation,Động lực mới,New Affirmation,
add_new_motivation,Nhập động lực mới,Enter new motivation,
new_motivaiton_suggest,Điều gì tạo động lực sống khoẻ cho bạn?,What motivates you to live a healthy life?,
enter_motivation,Viết động lực,Write motivation,
general_info,Thông tin chung,General information,
last_name_and_first_name,Họ và tên,Full Name,
updating,Đang cập nhật,Updating,
pathological_info,Thông tin bệnh lý,Medical Information,
year_illness_start,Năm phát bệnh,Year of Diagnosis,
body_info,Chỉ số cơ thể,Body Index,
not_updated_yet,Chưa cập nhật,Not update,
contact_info,Thông tin liên lạc,Contact information,
phone_number_1,Số điện thoại 1,Phone number 1,
phone_number_2,Số điện thoại 2,Phone number 2,
enter_phone_number_1,Nhập số điện thoại 1,Enter phone number 1,
enter_phone_number_2,Nhập số điện thoại 2,Enter phone number 2,
not_connected_yet,Chưa kết nối,Not connected yet,
account_already_used,"Tài khoản này đã được liên kết, vui lòng sử dụng tài khoản khác","This account is already linked, please use another account",
unlinked,Đã huỷ liên kết,Unlinked,
enter_first_name_and_last_name,Nhập họ và tên,Enter your first and last name,
mes_name_empty,Bạn chưa nhập tên,You have not entered your name,
mes_weight_must_greater_than_zero,Cân nặng phải lớn hơn 0,Weight must be greater than 0,
mes_height_must_greater_than_zero,Chiều cao phải lớn hơn 0,Height must be greater than 0,
enter_your_email,Nhập email của bạn,Enter your email,
mes_invalid_email,Email không hợp lệ,Invalid email,
edit_motivation,Chỉnh sửa động lực,Motivational editing,
letters_left_count,Còn {} ký tự,Left {} characters,
mes_motivation_content_empty,Bạn chưa nhập nội dung,You did not enter content,
TabbarScreen,#ERROR!,#ERROR!,
choose_other_info,Chọn chỉ số khác,Choose another indicator,
your_status_info,Trạng thái chỉ số của bạn,Your stat status,
warning_info,Các chỉ số ở mức cảnh báo:,Indicators at warning level:,
tends_to_negative,Có xu hướng trở nên tiêu cực,Tends to be negative,
not_changeed,Không thay đổi,Constant,
tends_to_posiitive,Có xu hướng trở nên tích cực,Tends to be positive,
good_successed,Tốt / đạt mục tiêu,Good / hit the target,
mes_new_version_available,Phiên bản mới {}.\nBấm cập nhật để trải nghiệm những tính năng mới,New version {}.\nclick update to experience new features,
update_weight,Cập nhật cân nặng,Weight update,
update_weight_description,Vui lòng cho chúng tôi biết số cân nặng của bạn trước khi nhập dữ liệu để ghi nhận chính xác hơn,Please let us know your weight before entering data for more accurate recording,
FoodMenuScreen,#ERROR!,#ERROR!,
food_menu,Thực đơn mẫu,Meal Plan,
change_food_info,Sửa chỉ số,Edit stats,
total_kcals,{} kcals,{} kcals,
total_starch,{}g bột đường,{}g carb,
attention,Lưu ý:,Note:,
note,Chú thích:,Note:,
dessert,Món tráng miệng,Desserts,
choose_alternative_dish,Chọn món ăn thay thế,Choose an alternative dish,
food_quantity_recommand,"Để phù hợp với thực đơn mẫu, bạn nên ăn","To match the sample menu, you should eat",
for_this_food,cho khẩu phần này,For this serving,
suggest_food_empty,Rất tiếc! Chúng tôi chưa tìm được món ăn phù hợp để gợi ý cho bạn!,Sorry! we haven't found a suitable dish to recommend for you!,
food_menu_empty,Rất tiếc! Chúng tôi chưa có thực đơn mẫu nằm trong khung năng lượng của bạn.,Sorry! we don't have a sample menu in your energy frame yet.,
food_menu_update_required,Vui lòng nâng cấp tài khoản lên gói Đồng hành để xem đầy đủ thực đơn mẫu cho cả tuần!,Please upgrade your account to the companion plan to see the full week's sample menu!,
energy_use_per_day,Mức tiêu hao năng lượng/ngày của bạn,Your daily energy consumption,
food_from_menu,"Theo thực đơn mẫu, có phải bạn đã ăn","According to the sample menu, have you eaten",
MyPlanScreen,#ERROR!,
my_plan,Lịch trình của tôi,My Plan,
schedule,Lịch trình,Plan,
activity,Hoạt động,Activities,
title_lesson,Bài học,Library,
title_activity,Hoạt động,Activities,
title_exercise,Vận động,Exercise Plan,
title_route,Lộ trình,Schedule,
title_suggest,Gợi ý,See More,
search_by_key,Tìm kiếm từ khoá,Search by keyword,
stop_exercise_warning,Bạn muốn dừng bài học?,Do you want to stop the lesson?,
stop_exercise_warning_description,"Việc thoát ra sẽ gây gián đoạn quá trình học bài tập vận động, bạn vẫn chắc chắn muốn thoát?","Exiting will interrupt the process, do you still want to exit?",
exercise_level_1,Bài tập quá nhẹ,Exercise is too light,
exercise_level_2,Bài tập nhẹ,Exercise is light,
exercise_level_3,Bài tập vừa sức,Moderate exercise!,
exercise_level_4,Bài tập nặng,Exercise is intensive,
exercise_level_5,Bài tập quá nặng,Exercise is too intensive,
send_feedback,Gửi đánh giá,Send feedback,
thank_you_for_feedback,Cảm ơn bạn đã để lại đánh giá!,Thanks for your feedback!,
thank_you_for_feedback_description,Chúng tôi rất trân trọng những phản hồi của bạn để làm tốt hơn mỗi ngày,We appreciate your feedback to make it better every day,
change_road_map,Thay đổi lộ trình,Change Plan,
select_road_map,Chọn lộ trình,Select a plan,
change_road_map_success,Chọn lộ trình thành công!,Successfully Selected!,
today_is_day_off,Hôm nay là ngày nghỉ!,Day off!,
today_is_day_off_description,Hãy dành thời gian nghỉ ngơi\nvà thư giãn nhé!,Take your time to rest and relax!,
today_is_day_no_exercise,Lộ trình hôm nay không có bài tập nào!,No exercises today!,
start_exercise,Bắt đầu tập,Start exercising,
show_instruction,Xem hướng dẫn,See the instructions,
lesson_category,Danh mục bài học,List of lessons,
section_position,Phần {},Part {},
no_matched_lesson,Không tìm thấy bài học phù hợp!,No matching lessons found!,
no_matched_lesson_description,Bạn hãy tạo lại bộ lọc để tìm kiếm các kết quả khác nhé.,Please recreate the filter to search for other results.,
lesson_locked,Bài học chưa mở khoá!,Locked!,
lesson_locked_warning,Bạn chưa hoàn thành các bài tập trước!\nVui lòng học theo đúng lộ trình để mở khoá bài tập này.,You haven't finished the previous exercises! please follow the correct route to unlock this exercise.,
exercise_lesson_locked,Bài tập chưa mở khoá!,Locked!,
exercise_lesson_locked_warning,Bạn chưa hoàn thành các bài tập trước!\nVui lòng học theo đúng lộ trình để mở khoá bài tập này.,You haven't finished the previous exercises! please follow the correct route to unlock this exercise.,
filter_by_key_word,Lọc theo từ khoá,Filter by keyword,
filter_by_lesson_name,Lọc theo tên bài học,Filter by lesson name,
enter_lesson_name,Nhập tên bài học,Enter the lesson name,
enter_key_word,Nhập từ khoá,Enter the keyword,
filtering,Lọc kết quả,Filter,
remake_filter,Tạo lại bộ lọc,Recreate the filter,
filter_not_learnt_lesson_yet,Lọc bài chưa học,Filter lesson hasn't learned yet,
lesson_not_learnt_yet,Chưa học,Locked,
lesson_not_unlock_yet,Chưa mở khoá,Locked,
lesson_can_not_learn,Không được học,Unvailble,
exercise_done,Chúc mừng bạn hoàn thành bài tập của ngày hôm nay!,Congratulations on completing today's exercise!,
joining,Đang tham gia,Joining,
ask_for_change_roadmap,"Bạn đang học {}, bạn có chắc muốn đổi lộ trình khác không?","You are working on {}, are you sure you want to change the route?",
road_map_changed,Bạn đã chọn {}. Lộ trình bao gồm {} bài học.,You have selected {}. the route includes {} lessons.,
lesson_empty_no_filter,Tuần này bạn không có bài học nào!,No lessons this week!,
lesson_empty_no_filter_description,Hãy dành thời gian nghỉ ngơi và thư giãn nhé!,Take your time to rest and relax!,
goal_of_day,Hôm nay,This day,
goal_of_week,Tuần này,This week,
setup_smart_goal_title,Cài đặt mục tiêu,Goal Setting,
smart_goal_blood_sugar,Đo đường huyết,Measure blood glucose,
smart_goal_blood_pressure,Đo huyết áp,Measure blood pressure,
smart_goal_weight,Đo cân nặng,Measure weight,
smart_goal_food,Cập nhật bữa ăn,Update meal,
smart_goal_hba1c,Đo HbA1c,Measure hba1c,
smart_goal_emotion,Nhập cảm xúc,Enter mood,
smart_goal_exercise,Vận động,Exercising,
smart_goal_lesson,Học bài,Complete today's lessons,
smart_goal_exercise_lesson,Bài tập vận động,Exercise,
goal_record_type_time,Thời gian thực hiện,Time,
goal_record_type_frequency,Số lần thực hiện,Frequency,
select_smart_goal,Chọn loại\nmục tiêu,Select goal type,
setup_smart_goal,Chi tiết\nmục tiêu,Goal detail,
smart_goal_name_empty,{} là bắt buộc,{} is required,
smart_goal_repeat_day_empty,Ngày lặp lại là bắt buộc,Repeat day is required,
smart_goal_exercise_time_empty,Chưa nhập số phút vận động,Exercise minutes is empty,
smart_goal_exercise_frequency_empty,Chưa nhập số lần thực hiện,Execution frequency is empty,
select_smart_goal_type,Chọn loại mục tiêu,Select goal type,
create_new_habit,Tạo thói quen mới,Create a new habit,
do_a_favorite_thing,Làm một việc yêu thích,Do a favorite thing,
biometric_monitoring_frequency,Tần suất theo dõi chỉ số sinh học,Biometric monitoring frequency,
personal_smart_goal,Mục tiêu cá nhân,Personal goal,
smart_setup_completed,Bạn đã cài đặt mục tiêu thành công!,Successful goal setting!,
smart_goal_name,Mục tiêu của bạn là gì,What is your goal?,
select_start_date,Chọn ngày bắt đầu hoạt động,Select the start day,
select_end_date,Ngày kết thúc mục tiêu này,Select the end day,
smart_goal_record_type_title,Tính mục tiêu đề ra,Calculate the stated goal,
smart_goal_record_type_description,(Vui lòng chọn 1 trong 2 cách),(please select 1 of 2),
frequency_per_day,Số lần <thực hiện hoạt động> trong ngày,Frequency <execute activity> per day,
enter_smart_goal_name,"Đọc sách mỗi ngày, thư giãn...","Read a book everyday, relax...",
please_select_roadmap,Vui lòng lựa chọn một lộ trình phù hợp\nđể bắt đầu trải nghiệm các bài tập cùng DiaB!,Please select a suitable route to start experiencing exercises with Diab!,
select_frequency,Độ thường xuyên của mục tiêu,Goal frequency,
my_progress,Tiến độ của tôi,My progress,
report,Báo cáo,Report,
goal,Mục tiêu,Goal,
coach11,Coach 1 - 1,Coach 1-1,
coach1n,Coach 1 - n,Coach group,
lesson_learned,Bài học đã học,Lesson learned,
lesson_unlocked,Bài học đã mở khoá,Unlocked,
lesson_not_learned,Bài học chưa học,Lesson hasn't learn yet,
dia_recommand,DiaB khuyến nghị:,Diab recommends:,
cancel_smart_goal,Huỷ mục tiêu,Cancel the goal,
confirm_cancel_smart_goal,Xác nhận huỷ mục tiêu,Confirm goal cancellation,
confirm_cancel_smart_goal_description,"Mục tiêu này trong tương lai cũng sẽ bị huỷ, bạn chắc chắn huỷ mục tiêu chứ?","This goal will also be canceled in the future, do you still want to cancel this goal?",
congratulation_achive_daily,Chúc mừng bạn đã hoàn thành mục tiêu ngày hôm nay!,Congratulations on completing today's goal!,
congratulation_achive_weekly,Chúc mừng bạn đã hoàn thành mục tiêu tuần này!,Congratulations on completing this week's goal!,
create_smart_goal,Thêm mục tiêu,Set goals,
Common,#ERROR!,
huyet_ap,Huyết áp,Blood Pressure,
duong_huyet,Đường huyết,Blood Glucose,
bmi,BMI,BMI,
hba1c,HbA1c,Hba1c,
cam_xuc,Cảm xúc,Mood,
dinh_duong,Dinh dưỡng,Diet,
van_dong,Vận động,Exercise,
can_nang,Cân nặng,Weight,
high,Cao,High,
very_high,Rất cao,Very high,
low,Thấp,Low,
very_low,Rất thấp,Very low,
good,Tốt,Good,
great,Tuyệt vời,Great,
chu_thich,Chú thích,Note,
thoi_gian,Thời gian,Time,
khung_gio,Khung giờ,Period,
chi_so,Chỉ số,Index,
xem_chi_tiet,Xem chi tiết,Details,
ly_do,Lý do,Reason,
nhap_ly_do,Nhập lý do,Enter reason,
chon_khung_gio,Chọn khung giờ,Filter,
ghi_chu,Ghi chú,Note,
nhap_ghi_chu_cua_ban,Nhập ghi chú của bạn,Enter your notes,
xoa_du_lieu,Xoá dữ liệu,Delete data,
xoa_thanh_cong,Xoá thành công,Successfully deleted,
